Date,Price,CCI,BCI
2011-01,1333.8,100.2064,101.2916
2011-02,1409.3,100.3287,101.3426
2011-03,1438.9,100.3578,101.2467
2011-04,1556,100.3003,100.9997
2011-05,1535.9,100.1621,100.6029
2011-06,1502.3,100.0058,100.3514
2011-07,1628.3,99.79466,100.0827
2011-08,1828.5,99.33616,99.9077
2011-09,1620.4,98.84709,99.79067
2011-10,1724.2,98.48086,99.70286
2011-11,1745.5,98.29787,99.71882
2011-12,1565.8,98.14864,99.8325
2012-01,1737.8,98.09241,99.96226
2012-02,1709.9,98.15748,100.0669
2012-03,1669.3,98.22058,100.1206
2012-04,1663.4,98.28371,100.0917
2012-05,1562.6,98.21056,99.90973
2012-06,1603.5,98.22924,99.6411
2012-07,1610.5,98.45137,99.48251
2012-08,1684.6,98.60593,99.46566
2012-09,1771.1,98.68932,99.46942
2012-10,1717.5,98.5869,99.38303
2012-11,1710.9,98.29594,99.33217
2012-12,1674.8,98.13423,99.49368
2013-01,1660.6,98.0527,99.79127
2013-02,1577.7,97.95039,99.94286
2013-03,1594.8,98.09776,99.81083
2013-04,1472.2,98.36679,99.60569
2013-05,1392.6,98.53157,99.57924
2013-06,1223.8,98.51778,99.79093
2013-07,1312.4,98.4737,100.0925
2013-08,1396.1,98.59537,100.3551
2013-09,1326.5,98.86425,100.4811
2013-10,1323.6,99.27917,100.5178
2013-11,1250.6,99.71706,100.4898
2013-12,1201.9,100.0367,100.3614
2014-01,1240.1,100.2535,100.1913
2014-02,1321.4,100.4443,100.2389
2014-03,1283.4,100.5653,100.3411
2014-04,1295.6,100.5802,100.4286
2014-05,1245.6,100.6094,100.4863
2014-06,1321.8,100.6214,100.5289
2014-07,1281.3,100.5325,100.6263
2014-08,1285.8,100.419,100.7566
2014-09,1210.5,100.3823,100.7719
2014-10,1171.1,100.403,100.7897
2014-11,1175.2,100.3776,100.6974
2014-12,1183.9,100.3568,100.4477
2015-01,1278.5,100.3475,100.1931
2015-02,1212.6,100.3805,99.99191
2015-03,1183.1,100.4607,99.85395
2015-04,1182.4,100.4988,99.81649
2015-05,1189.4,100.5852,99.87321
2015-06,1171.5,100.68,99.86535
2015-07,1094.9,100.7157,99.73847
2015-08,1131.6,100.7616,99.5503
2015-09,1115.5,100.7879,99.34685
2015-10,1141.5,100.7961,99.16254
2015-11,1065.8,100.8169,99.01466
2015-12,1060.3,100.7598,98.96235
2016-01,1116.4,100.5935,99.04545
2016-02,1233.9,100.3906,99.25329
2016-03,1234.2,100.2349,99.48333
2016-04,1289.2,100.2002,99.60503
2016-05,1214.8,100.2468,99.71036
2016-06,1318.4,100.3389,99.78316
2016-07,1349,100.3621,99.69835
2016-08,1306.9,100.4446,99.54604
2016-09,1313.3,100.6385,99.59105
2016-10,1271.5,100.8379,99.75653
2016-11,1170.8,100.9498,100.0177
2016-12,1150,101.0138,100.3202
2017-01,1208.6,101.0657,100.59
2017-02,1252.6,101.145,100.7451
2017-03,1247.3,101.1716,100.6969
2017-04,1266.1,101.1383,100.5503
2017-05,1272,101.0719,100.5477
2017-06,1240.7,101.1136,100.7139
2017-07,1266.6,101.2204,100.88
2017-08,1316.2,101.2761,101.1224
2017-09,1281.5,101.2681,101.2839
2017-10,1267,101.2662,101.2536
2017-11,1273.2,101.2429,101.2232
2017-12,1306.3,101.2514,101.2785
2018-01,1339,101.2373,101.3254
2018-02,1315.5,101.2181,101.3479
2018-03,1322.8,101.2034,101.236
2018-04,1316.2,101.1667,101.1184
2018-05,1300.1,101.1195,101.1606
2018-06,1251.3,101.1121,101.2651
2018-07,1223.7,101.1159,101.3212
2018-08,1200.3,101.0429,101.4147
2018-09,1191.5,100.9187,101.3322
2018-10,1212.3,100.7192,101.1366
2018-11,1220.2,100.4955,100.9361
2018-12,1278.3,100.2429,100.6413
2019-01,1319.7,100.007,100.4995
2019-02,1312.8,99.90033,100.345
2019-03,1293,99.83161,100.2214
2019-04,1282.8,99.82455,100.0139
2019-05,1305.8,99.85078,99.82348
2019-06,1409.7,99.88414,99.65206
2019-07,1426.1,99.88615,99.44665
2019-08,1519.1,99.85523,99.18713
2019-09,1465.7,99.83643,98.98727
2019-10,1511.4,99.85808,98.91533
2019-11,1465.6,99.87982,98.92236
2019-12,1519.5,99.9007,99.01857
2020-01,1587.9,99.92557,99.22452
2020-02,1566.7,99.96781,99.28682
2020-03,1592.1,99.91839,99.2454
